home_team,away_team,home_goals,away_goals,date,league_slug
Scotland,England,0,0,1872-11-30,international-friendly
England,Scotland,4,2,1873-03-08,international-friendly
Scotland,England,2,1,1874-03-07,international-friendly
England,Scotland,2,2,1875-03-06,international-friendly
Scotland,England,3,0,1876-03-04,international-friendly
Scotland,Wales,4,0,1876-03-25,international-friendly
England,Scotland,1,3,1877-03-03,international-friendly
Wales,Scotland,0,2,1877-03-05,international-friendly
Scotland,England,7,2,1878-03-02,international-friendly
Scotland,Wales,9,0,1878-03-23,international-friendly
England,Wales,2,1,1879-01-18,international-friendly
England,Scotland,5,4,1879-04-05,international-friendly
Wales,Scotland,0,3,1879-04-07,international-friendly
Scotland,England,5,4,1880-03-13,international-friendly
Wales,England,2,3,1880-03-15,international-friendly
Scotland,Wales,5,1,1880-03-27,international-friendly
England,Wales,0,1,1881-02-26,international-friendly
England,Scotland,1,6,1881-03-12,international-friendly
Wales,Scotland,1,5,1881-03-14,international-friendly
Northern Ireland,England,0,13,1882-02-18,international-friendly
Wales,Northern Ireland,7,1,1882-02-25,international-friendly
Scotland,England,5,1,1882-03-11,international-friendly
Wales,England,5,3,1882-03-13,international-friendly
Scotland,Wales,5,0,1882-03-25,international-friendly
England,Wales,5,0,1883-02-03,international-friendly
England,Northern Ireland,7,0,1883-02-24,international-friendly
England,Scotland,2,3,1883-03-10,international-friendly
Wales,Scotland,0,3,1883-03-12,international-friendly
Northern Ireland,Wales,1,1,1883-03-17,international-friendly
Northern Ireland,Scotland,0,5,1884-01-26,international-british-home-championship
Wales,Northern Ireland,6,0,1884-02-09,international-british-home-championship
Northern Ireland,England,1,8,1884-02-23,international-british-home-championship
Scotland,England,1,0,1884-03-15,international-british-home-championship
Wales,England,0,4,1884-03-17,international-british-home-championship
Scotland,Wales,4,1,1884-03-29,international-british-home-championship
England,Northern Ireland,4,0,1885-02-28,international-british-home-championship
England,Wales,1,1,1885-03-14,international-british-home-championship
Scotland,Northern Ireland,8,2,1885-03-14,international-british-home-championship
England,Scotland,1,1,1885-03-21,international-british-home-championship
Wales,Scotland,1,8,1885-03-23,international-british-home-championship
Northern Ireland,Wales,2,8,1885-04-11,international-british-home-championship
United States,Canada,0,1,1885-11-28,international-friendly
Wales,Northern Ireland,5,0,1886-02-27,international-british-home-championship
Northern Ireland,England,1,6,1886-03-13,international-british-home-championship
Northern Ireland,Scotland,2,7,1886-03-20,international-british-home-championship
Scotland,England,1,1,1886-03-27,international-british-home-championship
Wales,England,1,3,1886-03-29,international-british-home-championship
Scotland,Wales,4,1,1886-04-10,international-british-home-championship
United States,Canada,3,2,1886-11-25,international-friendly
England,Northern Ireland,7,0,1887-02-05,international-british-home-championship
Scotland,Northern Ireland,4,1,1887-02-19,international-british-home-championship
England,Wales,4,0,1887-02-26,international-british-home-championship
Northern Ireland,Wales,4,1,1887-03-12,international-british-home-championship
England,Scotland,2,3,1887-03-19,international-british-home-championship
Wales,Scotland,0,2,1887-03-21,international-british-home-championship
England,Wales,5,1,1888-02-04,international-british-home-championship
Wales,Northern Ireland,11,0,1888-03-03,international-british-home-championship
Scotland,Wales,5,1,1888-03-10,international-british-home-championship
Scotland,England,0,5,1888-03-17,international-british-home-championship
Northern Ireland,Scotland,2,10,1888-03-24,international-british-home-championship
Northern Ireland,England,1,5,1888-04-07,international-british-home-championship
Scotland,Canada,4,0,1888-09-19,international-friendly
England,Wales,4,1,1889-02-23,international-british-home-championship
England,Northern Ireland,6,1,1889-03-02,international-british-home-championship
Scotland,Northern Ireland,7,0,1889-03-09,international-british-home-championship
England,Scotland,2,3,1889-04-13,international-british-home-championship
Wales,Scotland,0,0,1889-04-15,international-british-home-championship
Northern Ireland,Wales,1,3,1889-04-27,international-british-home-championship
Wales,Northern Ireland,5,2,1890-02-08,international-british-home-championship
Northern Ireland,England,1,9,1890-03-15,international-british-home-championship
Wales,England,1,3,1890-03-15,international-british-home-championship
Scotland,Wales,5,0,1890-03-22,international-british-home-championship
Northern Ireland,Scotland,1,4,1890-03-29,international-british-home-championship
Scotland,England,1,1,1890-04-05,international-british-home-championship
Northern Ireland,Wales,7,2,1891-02-07,international-british-home-championship
