home_team,away_team,home_goals,away_goals,date,league_slug
Bayer Leverkusen,Werder Bremen,5,0,2024-04-14,statsbomb-1.-bundesliga
Union Berlin,Bayer Leverkusen,0,1,2024-04-06,statsbomb-1.-bundesliga
Eintracht Frankfurt,Bayer Leverkusen,1,5,2024-05-05,statsbomb-1.-bundesliga
Bochum,Bayer Leverkusen,0,5,2024-05-12,statsbomb-1.-bundesliga
Bayer Leverkusen,Augsburg,2,1,2024-05-18,statsbomb-1.-bundesliga
Bayer Leverkusen,Hoffenheim,2,1,2024-03-30,statsbomb-1.-bundesliga
Darmstadt 98,Bayer Leverkusen,0,2,2024-02-03,statsbomb-1.-bundesliga
Bayer Leverkusen,FSV Mainz 05,2,1,2024-02-23,statsbomb-1.-bundesliga
Bayer Leverkusen,Wolfsburg,2,0,2024-03-10,statsbomb-1.-bundesliga
Freiburg,Bayer Leverkusen,2,3,2024-03-17,statsbomb-1.-bundesliga
Bayer Leverkusen,Eintracht Frankfurt,3,0,2023-12-17,statsbomb-1.-bundesliga
Hoffenheim,Bayer Leverkusen,2,3,2023-11-04,statsbomb-1.-bundesliga
Bayer Leverkusen,Freiburg,2,1,2023-10-29,statsbomb-1.-bundesliga
Bayer Leverkusen,FC Köln,3,0,2023-10-08,statsbomb-1.-bundesliga
Bayern Munich,Bayer Leverkusen,2,2,2023-09-15,statsbomb-1.-bundesliga
Bayer Leverkusen,Union Berlin,4,0,2023-11-12,statsbomb-1.-bundesliga
Bayer Leverkusen,FC Heidenheim,4,1,2023-09-24,statsbomb-1.-bundesliga
Bayer Leverkusen,VfB Stuttgart,2,2,2024-04-27,statsbomb-1.-bundesliga
Borussia Dortmund,Bayer Leverkusen,1,1,2024-04-21,statsbomb-1.-bundesliga
FC Köln,Bayer Leverkusen,0,2,2024-03-03,statsbomb-1.-bundesliga
FC Heidenheim,Bayer Leverkusen,1,2,2024-02-17,statsbomb-1.-bundesliga
Bayer Leverkusen,Bayern Munich,3,0,2024-02-10,statsbomb-1.-bundesliga
